location,replace with 
Shirley. McMullin & Kilby Is. Channel (east).,Shirley-McMullin-Kilby Island 
Shirley. McMullin & Kilby Is.Outside (west).Incl Fitzpatrick Rock,Shirley-McMullin-Kilby Island 
Signey Island. South Orkney Islands,Signey Island
Signy Island. South Orkney Islands1,Signey Island
South African waters,South African Waters
South Georgia,South Georgia
South Georgia. South Sandwich Islands. Western Antarctic Peninsula,South Georgia
South Georgia,South Georgia
South Indian Ocean.,South Indian Ocean
South Newcombe Bay. Casey region,Newcombe Bay
South Orkney Islands,South Orkney Islands
South Sandwich Islands,South Sandwich Islands
South Shetland Islands,South Shetland Islands
southern Benguela,Benguela
Southern ocean,Southern Ocean
southern Weddell Sea,Weddell Sea
Sparkes Bay,Sparkes Bay
Spit Bay,Spit Bay
Square Pond,Square Pond
St Helena Bay,St Helena Bay
Steeple Jason Island,Steeple Jason Island
Stephens Island,Stephens Island
Stephenson Lagoon,Stephenson Lagoon
Straits of Magellan,Straits of Magellan
Stranger Point,Stranger Point
Subantarctic Pacific Ocean.,Antarctic and Subantarctic Waters
subantarctic waters,Antarctic and Subantarctic Waters
Svarthamaren,Svarthamaren
Sydney Cove,Sydney Cove
Syowa,Syowa
Taylor colony,Taylor Colony
Tent Island,Tent Island
Terra Nova Bay,Terra Nova Bay
Terre Adèle ,Terra Adle
Tethys Bay,Tethys Bay
Tierra del Fuego,Tierra del Fuego
Transvaal Cove,Transvaal Cove
Turtle Rock,Turtle Rock
Tussock meadows. South Georgia,Tussock Meadows
Uchatka Point,Uchatka Point
Verte Island. Kerguelen Archipelago,Verte Island
Vestfold Hills,Vestfold Hills
Vincennes Bay,Vincennes Bay
Volunteer Beach,Volunteer Beach
Weddell Sea,Weddell Sea
West Beall Is. coastal region.,West Beall
West Beall Is. reefs offshore.,West Beall
Wharf area. Casey,Casey Island
Whero Island,Whero Island
